Key,ValueName,Type,Value
HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoDriveTypeAutoRun,Dword,255
HKLM\Software\Policies\Microsoft\Windows\Personalization,NoChangingLockScreen,Dword,1
HKLM\Software\Policies\Microsoft\Windows\Session Manager\Quota System,EnableCpuQuota,Dword,0
HKLM\SYSTEM\CurrentControlSet\Services\TSFairShare\Disk,EnableFairShare,Dword,0
HKLM\SYSTEM\CurrentControlSet\Services\TSFairShare\NetFS,EnableFairShare,Dword,0
HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,Shadow,Dword,2
HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,LicensingMode,Dword,4
HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,fResetBroken,Dword,1
HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,LicenseServers,String,"192.168.13.100"
HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,MaxDisconnectionTime,Dword,28800000
HKLM\SYSTEM\CurrentControlSet\Control\FileSystem,LongPathsEnabled,Dword,1
