Key,ValueName,Type,Value
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate,SetActiveHours,Dword,1
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate,ActiveHoursStart,Dword,22
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate,ActiveHoursEnd,Dword,6
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate\AU,AUOptions,Dword,3
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate\AU,UseWUServer,Dword,0
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate\AU,NoAutoRebootWithLoggedOnUsers,Dword,1
HKLM\Software\Policies\Microsoft\Windows\WindowsUpdate,ExcludeWUDriversInQualityUpdate,Dword,1
HKLM\SYSTEM\CurrentControlSet\Services\UsoSvc,Start,Dword,2
HKLM\SYSTEM\CurrentControlSet\Services\WaaSMedicSvc,Start,Dword,3
HKLM\SYSTEM\CurrentControlSet\Services\wuauserv,Start,Dword,3
